NAME,MAP,SENSOR,PROD,ALG,PERIOD,PERIOD_CODE,MATH,UNITS,MTIME_FILE,MTIME_SUBAREA,REGION,SUBAREA,N_SUBAREA,N,MIN,MAX,MED,AMEAN,GMEAN,STD,GSTATS_N,GSTATS_MIN,GSTATS_MAX,GSTATS_MED,GSTATS_AMEAN,GSTATS_GMEAN,GSTATS_STD,,
M_199709-OCCCI-L3B4-NANO-BREWINSST_NES-STATS,L3B4,OCCCI,NANO,BREWINSST_NES,M_199709,M,STATS,mg m^-3,1594992606,1595002203,ATLANTIS_NEUS,4,210,183,0.145873696,1.616745591,0.559169769,0.623544781,0.573569056,0.274619241,183,0.145873696,1.616745591,0.543282807,0.603186165,0.553678884,0.274223034,,
M_199709-OCCCI-L3B4-NANO-BREWINSST_NES-STATS,L3B4,OCCCI,NANO,BREWINSST_NES,M_199709,M,STATS,mg m^-3,1594992606,1595002203,ATLANTIS_NEUS,5,562,562,0.118247844,0.756869614,0.192194447,0.245032549,0.225492626,0.103272373,562,0.111819446,0.613193929,0.186650202,0.237470908,0.218206151,0.100179064,,
M_199709-OCCCI-L3B4-NANO-BREWINSST_NES-STATS,L3B4,OCCCI,NANO,BREWINSST_NES,M_199709,M,STATS,mg m^-3,1594992606,1595002203,ATLANTIS_NEUS,26,865,865,0.126899928,0.268910617,0.173337504,0.174956102,0.172733148,0.028415506,865,0.126350433,0.256941646,0.171694592,0.173170701,0.171092455,0.027205623,,
M_199709-OCCCI-L3B4-NANO-BREWINSST_NES-STATS,L3B4,OCCCI,NANO,BREWINSST_NES,M_199709,M,STATS,mg m^-3,1594992606,1595002203,ATLANTIS_NEUS,27,1356,1356,0.045757953,0.244339779,0.127787545,0.119193261,0.111558717,0.041232371,1356,0.041844837,0.239563391,0.12384171,0.116741987,0.109162011,0.040631432,,
M_199709-OCCCI-L3B4-NANO-BREWINSST_NES-STATS,L3B4,OCCCI,NANO,BREWINSST_NES,M_199709,M,STATS,mg m^-3,1594992606,1595002203,ATLANTIS_NEUS,28,2006,2006,0.04506816,0.328362256,0.103593707,0.10960599,0.105492755,0.030573195,2006,0.039909929,0.214485094,0.096766494,0.103933569,0.100017701,0.029219259,,
M_199709-OCCCI-L3B4-NANO-BREWINSST_NES-STATS,L3B4,OCCCI,NANO,BREWINSST_NES,M_199709,M,STATS,mg m^-3,1594992606,1595002203,ATLANTIS_NEUS,8,331,309,0.167752311,0.702584684,0.408620924,0.415134702,0.399689552,0.110729372,309,0.167752311,0.702584684,0.401905358,0.409358213,0.393423547,0.112241819,,
M_199709-OCCCI-L3B4-NANO-BREWINSST_NES-STATS,L3B4,OCCCI,NANO,BREWINSST_NES,M_199709,M,STATS,mg m^-3,1594992606,1595002203,ATLANTIS_NEUS,29,1501,1501,0.035928916,0.228081971,0.123388082,0.12359723,0.119081756,0.031774116,1501,0.03408318,0.215383977,0.114223488,0.115320033,0.110436343,0.032016996,,
M_199709-OCCCI-L3B4-NANO-BREWINSST_NES-STATS,L3B4,OCCCI,NANO,BREWINSST_NES,M_199709,M,STATS,mg m^-3,1594992606,1595002203,ATLANTIS_NEUS,9,856,839,0.072599053,0.83445847,0.323932707,0.329331219,0.293150514,0.148811601,839,0.072599046,0.83445847,0.318228394,0.322467755,0.284744292,0.150510236,,
M_199709-OCCCI-L3B4-NANO-BREWINSST_NES-STATS,L3B4,OCCCI,NANO,BREWINSST_NES,M_199709,M,STATS,mg m^-3,1594992606,1595002203,ATLANTIS_NEUS,22,888,888,0.206004202,0.420173109,0.327073663,0.323450463,0.32096055,0.039384573,888,0.201622039,0.417216957,0.323371261,0.31871193,0.316165777,0.039530975,,
M_199709-OCCCI-L3B4-NANO-BREWINSST_NES-STATS,L3B4,OCCCI,NANO,BREWINSST_NES,M_199709,M,STATS,mg m^-3,1594992606,1595002203,ATLANTIS_NEUS,19,892,892,0.245983884,0.524395525,0.372484833,0.374903601,0.371878198,0.047760088,892,0.238704935,0.50427258,0.369334191,0.37049486,0.36743076,0.047515122,,
M_199709-OCCCI-L3B4-NANO-BREWINSST_NES-STATS,L3B4,OCCCI,NANO,BREWINSST_NES,M_199709,M,STATS,mg m^-3,1594992606,1595002203,ATLANTIS_NEUS,23,20,16,0.403419971,0.809550881,0.609624207,0.607574575,0.593694568,0.133700659,16,0.401574999,0.809550881,0.608241677,0.605912333,0.591812422,0.134740882,,
